Country,Code,Year,Other sources (tonnes),Waste (tonnes),Industry (tonnes),Residential & commercial (tonnes),Transport (tonnes),Agriculture (tonnes),Forestry (tonnes),Land use sources (tonnes),Energy (tonnes)
United Arab Emirates,AE,1990,310527.5,444504.5,2785570.6,306752.7,11301489.1,497680.5,-1191666.7,0,56556074.5
United Arab Emirates,AE,1991,331608.4,471386.3,3177115.8,288389.3,11630969.6,559625.6,-1191666.7,0,63231831.6
United Arab Emirates,AE,1992,334097.6,500099,3265566.2,280010.3,11820973.6,621645.6,-1191666.7,0,61630923.9
United Arab Emirates,AE,1993,355901.4,532860.7,3267567.5,816398,12617709.9,661976.1,-1191666.7,0,62711303.6
United Arab Emirates,AE,1994,368164.2,565969.6,3578521.7,948585.1,12499745.3,727983.6,-1191666.7,0,69018296.4
United Arab Emirates,AE,1995,380909.7,607195.5,4078711.7,996507.5,13118684.3,779676.9,-1191666.7,0,73526489.6
United Arab Emirates,AE,1996,396258.3,666422.3,3994483.2,884172.2,13283274.4,830203.2,-1191666.7,0,82630083.6
United Arab Emirates,AE,1997,387787.4,710891.4,4061695.3,955957.6,13218338.9,867982.8,-1191666.7,0,81283313.8
United Arab Emirates,AE,1998,390440.6,746389.3,4626015.5,987731.6,13246754.4,914264.2,-1191666.7,0,83733019.2
United Arab Emirates,AE,1999,399734.9,797766.6,5021494,1144301.8,13584539.4,974298.3,-1191666.7,0,84920422.5
United Arab Emirates,AE,2000,420545.4,838359.3,4551219.5,1301411.5,14900000,1001685.1,-1191666.7,0,92020459.6
United Arab Emirates,AE,2001,421457.4,893746.1,4677152.8,1672483.8,16300000,1044245.6,-51333.3,0,89998916.7
United Arab Emirates,AE,2002,470359.3,952416.7,5115959.5,2073618.9,18800000,1193142.8,-51333.3,0,98353389.3
United Arab Emirates,AE,2003,506140.9,1017713.7,5704007.6,2474741.9,20900000,1316299.8,-51333.3,0,102370733.2
United Arab Emirates,AE,2004,526804.5,1072861.6,6204491.1,2575058.6,21100000,1147836.3,-51333.3,0,107419344.2
United Arab Emirates,AE,2005,538693.3,1097679.8,6811551.6,2665252,22200000,1145859.8,-51333.3,0,108969079.6
United Arab Emirates,AE,2006,546935.5,1140913.7,8246648.7,2745490,23300000,1432490.2,-212666.7,0,114703054.1
United Arab Emirates,AE,2007,580622.8,1184797.5,8859536,2955970.1,24500000,1514128.5,-212666.7,0,128777770.5
United Arab Emirates,AE,2008,570416.8,1253554.9,9673184.3,3447053.9,19600000,1422913.9,-212666.7,0,145726487.8
United Arab Emirates,AE,2009,580991.3,1323801.5,9842087,3707654.5,18700000,1832060.4,-212666.7,0,157945794.1
United Arab Emirates,AE,2010,591564.7,1356995.8,10697890.4,3968255.2,17900000,1549442.3,-212666.7,0,170265102.2
Afghanistan,AF,1990,19705.9,2283533.6,156680.3,1169355.6,608308.9,7342709.9,0,181.9,943294.5
Afghanistan,AF,1991,18488.8,2307770.5,167032.9,939311.8,532345.8,7631027.2,0,181.9,1022111
Afghanistan,AF,1992,15025.8,2331057.5,177420.7,618695.9,376761.6,7631442.7,0,181.9,542786.8
Afghanistan,AF,1993,14747.2,2353708.4,157502.5,595042.1,324243.5,7702741.6,0,181.9,548887.1
Afghanistan,AF,1994,13866.6,2377645,179446.6,556710,310908.6,7699138.9,0,181.9,537906.7
Afghanistan,AF,1995,14387.5,2406126.4,186452.7,592928.7,311232.7,8080447.3,0,181.9,495982.3
Afghanistan,AF,1996,14321,2436355.6,186995.6,555982.3,305551.9,8969349.8,0,180.1,492401.5
Afghanistan,AF,1997,14758.5,2468892.8,186343.1,606031.1,304954.1,9849613.5,0,106.7,486636.9
Afghanistan,AF,1998,14080.8,2512444,159971.8,607483,291832.6,10579158.9,0,291.8,498270.3
Afghanistan,AF,1999,14010.3,2579113.2,159352.3,657187.2,281240.2,11506130.5,0,80,528065.7
Afghanistan,AF,2000,13241.3,2678939.1,184378.9,545678.8,269396.6,9883894.3,0,635.9,549997.3
Afghanistan,AF,2001,12995.9,2814222,165629,429062.2,261113.7,8373494.8,0,217.1,558701.7
Afghanistan,AF,2002,14514.1,2980291.8,172404.9,456151.1,250366.5,10408524.9,0,0,575070.5
Afghanistan,AF,2003,13842.7,3163533,178972.9,468659,199947.9,10835451.1,0,0,584105.2
Afghanistan,AF,2004,14367.2,3343186,183569.7,469874.7,229991.3,10622004.6,0,0,621467.2
Afghanistan,AF,2005,15171.3,3499281.8,186767.4,517980.5,235346.5,10898121.5,0,0,648800.4
Afghanistan,AF,2006,14640.5,3668148.4,183635.5,524183.3,204550.8,10993474.3,0,775,663960.1
Afghanistan,AF,2007,15194,3836497.7,189112.8,578549.3,196936.2,10937168.8,0,0,684907.9
Afghanistan,AF,2008,15272.4,4009690.5,192889.8,597188.7,195565.2,12016865.1,0,840.7,704592.6
